67 w= 11 d= 44 c= 100 l= 16 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 45 mld= 72 mn= 69 ex= 3135 xn= 27 wv= 37 bu= 36 cu= 36 pu= 76 vs= 2815 s= 0 / 1000
68 w= 17 d= 76 c= 182 l= 66 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 89 mld= 136 mn= 118 ex= 16685 xn= 37 wv= 83 bu= 72 cu= 77 pu= 164 vs= 4728 s= 0 / 1000
69 w= 55 d= 3327 c= 14575 l= 5036448 p= 16382 b= 1024 ch= 2048 tc=  0.0080 tb=  0.0279 dp= 0 cp= 0 mlc= 2653 mld= 3332 mn= 5836 ex= 36458 xn= 171 wv= 13662 bu= 899 cu= 1600 pu= 16324 vs= 44272 s= 904 / 1000
70 w= 9 d= 42 c= 89 l= 6 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 55 ex= 4363 xn= 17 wv= 0 bu= 28 cu= 22 pu= 65 vs= 0 s= 0 / 1000
71 w= 14 d= 116 c= 341 l= 210 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 130 mld= 198 mn= 157 ex= 4495 xn= 31 wv= 200 bu= 98 cu= 127 pu= 329 vs= 4522 s= 105 / 1000
72 w= 14 d= 145 c= 382 l= 288 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 137 mld= 199 mn= 196 ex= 14774 xn= 30 wv= 159 bu= 49 cu= 58 pu= 283 vs= 4781 s= 0 / 1000
73 w= 5 d= 9 c= 17 l= 2 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 15 ex= 1172 xn= 7 wv= 0 bu= 14 cu= 9 pu= 17 vs= 0 s= 0 / 1000
74 w= 23 d= 1452 c= 6692 l= 41174 p= 16382 b= 1024 ch= 2048 tc=  0.0000 tb=  0.0080 dp= 0 cp= 0 mlc= 1714 mld= 2023 mn= 2673 ex= 24391 xn= 69 wv= 1998 bu= 534 cu= 1346 pu= 2906 vs= 14828 s= 0 / 1000
75 w= 10 d= 25 c= 47 l= 4 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 34 ex= 5077 xn= 22 wv= 0 bu= 26 cu= 17 pu= 52 vs= 0 s= 0 / 1000
76 w= 8 d= 127 c= 358 l= 29 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 146 ex= 2679 xn= 15 wv= 0 bu= 74 cu= 92 pu= 274 vs= 0 s= 0 / 1000
77 w= 24 d= 1033 c= 3939 l= 56 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 388 mld= 504 mn= 1646 ex= 27073 xn= 80 wv= 1593 bu= 106 cu= 106 pu= 2514 vs= 16956 s= 0 / 1000
78 w= 14 d= 49 c= 109 l= 8 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 34 mld= 59 mn= 74 ex= 9672 xn= 37 wv= 50 bu= 39 cu= 27 pu= 108 vs= 4039 s= 0 / 1000
79 w= 24 d= 1301 c= 4903 l= 452 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 953 mld= 1188 mn= 2060 ex= 12065 xn= 49 wv= 2062 bu= 248 cu= 319 pu= 2361 vs= 19284 s= 226 / 1000
80 w= 16 d= 177 c= 533 l= 52 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 139 mld= 213 mn= 247 ex= 15804 xn= 35 wv= 231 bu= 72 cu= 72 pu= 388 vs= 5992 s= 26 / 1000
81 w= 19 d= 219 c= 655 l= 544 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 184 mld= 263 mn= 374 ex= 8779 xn= 50 wv= 208 bu= 128 cu= 183 pu= 319 vs= 6192 s= 0 / 1000
82 w= 24 d= 573 c= 1828 l= 624 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0080 dp= 0 cp= 0 mlc= 424 mld= 570 mn= 930 ex= 7761 xn= 60 wv= 1158 bu= 164 cu= 206 pu= 1601 vs= 11700 s= 0 / 1000
83 w= 12 d= 53 c= 116 l= 9 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 50 mld= 85 mn= 70 ex= 5072 xn= 36 wv= 54 bu= 48 cu= 44 pu= 108 vs= 3432 s= 0 / 1000
84 w= 17 d= 103 c= 245 l= 132 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 110 mld= 158 mn= 164 ex= 10010 xn= 46 wv= 163 bu= 74 cu= 79 pu= 325 vs= 5000 s= 0 / 1000
85 w= 37 d= 1657 c= 6060 l= 517632 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0160 dp= 0 cp= 0 mlc= 2036 mld= 2323 mn= 2689 ex= 20303 xn= 127 wv= 5314 bu= 301 cu= 514 pu= 8993 vs= 29776 s= 0 / 1000
86 w= 41 d= 2690 c= 11828 l= 14423040 p= 16382 b= 1024 ch= 1024 tc=  0.0080 tb=  0.0280 dp= 0 cp= 0 mlc= 3600 mld= 4442 mn= 4767 ex= 29506 xn= 120 wv= 13269 bu= 401 cu= 628 pu= 14292 vs= 52544 s= 951 / 1000
87 w= 22 d= 950 c= 3659 l= 3748 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0040 dp= 0 cp= 0 mlc= 680 mld= 878 mn= 1290 ex= 7122 xn= 40 wv= 2686 bu= 298 cu= 468 pu= 3131 vs= 16390 s= 0 / 1000
88 w= 27 d= 956 c= 4341 l= 3348 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0120 dp= 0 cp= 0 mlc= 614 mld= 776 mn= 1711 ex= 18154 xn= 74 wv= 1242 bu= 243 cu= 351 pu= 1850 vs= 13910 s= 0 / 1000
89 w= 36 d= 4402 c= 19891 l= 15257972 p= 32764 b= 3072 ch= 9216 tc=  0.0120 tb=  0.0200 dp= 0 cp= 0 mlc= 7045 mld= 8123 mn= 7874 ex= 35640 xn= 93 wv= 10676 bu= 2746 cu= 8576 pu= 21085 vs= 49616 s= 0 / 1000
90 w= 29 d= 1252 c= 4575 l= 18724 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0120 dp= 0 cp= 0 mlc= 1002 mld= 1243 mn= 2133 ex= 16150 xn= 68 wv= 3109 bu= 322 cu= 464 pu= 3704 vs= 19110 s= 950 / 1000
91 w= 29 d= 627 c= 2374 l= 1136 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0080 dp= 0 cp= 0 mlc= 1104 mld= 1418 mn= 1047 ex= 11721 xn= 74 wv= 4212 bu= 199 cu= 233 pu= 3495 vs= 20818 s= 0 / 1000
92 w= 32 d= 1237 c= 4751 l= 10300 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0160 dp= 0 cp= 0 mlc= 769 mld= 971 mn= 2081 ex= 26368 xn= 80 wv= 2240 bu= 200 cu= 251 pu= 3114 vs= 22576 s= 933 / 1000
93 w= 4 d= 6 c= 9 l= 2 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 8 ex= 849 xn= 5 wv= 0 bu= 10 cu= 6 pu= 14 vs= 0 s= 0 / 1000
94 w= 47 d= 4584 c= 24916 l= 162304 p= 32764 b= 1024 ch= 1024 tc=  0.0038 tb=  0.0200 dp= 0 cp= 0 mlc= 2317 mld= 2750 mn= 8693 ex= 47536 xn= 118 wv= 10529 bu= 507 cu= 788 pu= 17647 vs= 41648 s= 0 / 1000
95 w= 8 d= 25 c= 50 l= 8 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 36 ex= 2667 xn= 12 wv= 0 bu= 23 cu= 19 pu= 43 vs= 0 s= 0 / 1000
